ID,NAME,INDUSTRY,GENRE,LANG,DURATION,RATING
1,Bahubali,Tollywood,Action,Telgu,170,9.5
2,Bollywood,Bollywood,Mystereous,Hindi,180,5
3,Uri-The Surgical strike,Bollywood,Action,Hindi,120,10
4,DDLJ,Bollywood,Romantic,Hindi,150,10
5,Avengers-End Game,Bollywood,Hollywood,English,180,9
6,Tenet,Hollywood,Scifi,English,150,8.5
7,Major,Bollywood,Action,Hindi,140,8
8,Intersteller,Hollywood,Scifi,English,190,7
9,Gravity,Hollywood,Scifi,English,130,6
10,Titanic,Bollywood,Drama,English,180,9
11,YehJawani Hai Deewani,Bollywood,Romantic,Hindi,150,5
12,Housefil,Bollywood,Comedy,Hindi,150,6
13,The Dictator,Hollywood,Comedy,English,120,7
14,Hera Feri,Bollywood,Comedy,Hindi,140,9
15,Sholay,Bollywood,Drama,Hindi,150,8.5
